date,exchange,fromSymbol,toSymbol,close,high,low,open,volumefrom,volumeto
2019-07-21,BCEX,AIDOC,CKUSD,0.0108,0.0109,0.0099,0.0109,449263.25,4797.9
2019-07-21,BCEX,DCT,CKUSD,0.05,0.05,0.05,0.05,0,0
2019-07-21,BCEX,SOP,ETH,0.00000707,0.00000707,0.00000707,0.00000707,0,0
2019-07-21,BCEX,ELA,BTC,0.0007549,0.0007549,0.0007549,0.0007549,0,0
2019-07-21,BCEX,ETC,CKUSD,19.4,19.4,19.4,19.4,0,0
2019-07-21,BCEX,MGO,ETH,0.004483,0.004483,0.004483,0.004483,0,0
2019-07-21,BCEX,LBTC,BTC,0.00005,0.00005,0.00005,0.00005,0,0
2019-07-21,BCEX,BASH,CKUSD,0.0014,0.0017,0.0014,0.0017,111780,167.47
2019-07-21,BCEX,MOC,ETH,0.0001977,0.0001977,0.0001977,0.0001977,0,0
2019-07-21,BCEX,SHE,ETH,0.00000797,0.00000816,0.00000797,0.00000816,20000000,159.4
2019-07-21,BCEX,CMT,CKUSD,0.0508,0.0508,0.0508,0.0508,0,0
2019-07-21,BCEX,FCT,CKUSD,12.5,12.5,12.5,12.5,0,0
2019-07-21,BTC38,MED,BTC,0.0000278,0.0000278,0.0000278,0.0000278,0,0
2019-07-21,BTC38,WDC,CNY,0.0323,0.0323,0.0323,0.0323,0,0
2019-07-21,BTC38,MED,CNY,0.6099,0.6099,0.6099,0.6099,0,0
2019-07-21,BTC38,XCN,BTC,0.0000171,0.0000171,0.0000171,0.0000171,0,0
2019-07-21,BTC38,TMC,BTC,0.001014,0.001014,0.001014,0.001014,0,0
2019-07-21,BTC38,XRP,CNY,1.33,1.33,1.33,1.33,0,0
2019-07-21,BTC38,BOST,CNY,2.14,2.14,2.14,2.14,0,0
2019-07-21,BTC38,XCN,CNY,0.0096,0.0096,0.0096,0.0096,0,0
2019-07-21,BTC38,TMC,CNY,5.576,5.576,5.576,5.576,0,0
2019-07-21,BTC38,ZCC,CNY,0.065,0.065,0.065,0.065,0,0
2019-07-21,BTC38,XEM,CNY,1.28,1.28,1.28,1.28,0,0
2019-07-21,BTC38,MEC,CNY,0.081,0.081,0.081,0.081,0,0
2019-07-21,BTC38,BTS,CNY,0.3675,0.3675,0.3675,0.3675,0,0
2019-07-21,BTC38,WDC,BTC,0.0000639,0.0000639,0.0000639,0.0000639,0,0
2019-07-21,BTC38,ANC,CNY,10.56,10.56,10.56,10.56,0,0
2019-07-21,BTC38,ANC,BTC,0.000732,0.000732,0.000732,0.000732,0,0
2019-07-21,BTC38,DASH,CNY,2201.4,2201.4,2201.4,2201.4,0,0
2019-07-21,BTC38,RIC,CNY,0.288,0.288,0.288,0.288,0,0
2019-07-21,BTC38,LTC,CNY,366.12,366.12,366.12,366.12,0,0
2019-07-21,BTC38,QRK,BTC,0.0000298,0.0000298,0.0000298,0.0000298,0,0
2019-07-21,BTC38,QRK,CNY,0.015,0.015,0.015,0.015,0,0
2019-07-21,BTC38,NXT,CNY,0.389,0.389,0.389,0.389,0,0
2019-07-21,BTC38,XZC,CNY,66.49,66.49,66.49,66.49,0,0
2019-07-21,BTC38,ETC,CNY,70.5,70.5,70.5,70.5,0,0
2019-07-21,BTC38,XPM,CNY,0.95,0.95,0.95,0.95,0,0
2019-07-21,BTC38,BLK,CNY,1.267,1.267,1.267,1.267,0,0
2019-07-21,BTC38,YBC,CNY,7.9,7.9,7.9,7.9,0,0
2019-07-21,BTC38,PPC,CNY,9.05,9.05,9.05,9.05,0,0
2019-07-21,BTC38,EMC,CNY,3.8,3.8,3.8,3.8,0,0
2019-07-21,BTC38,ETH,CNY,2029,2029,2029,2029,0,0
2019-07-21,BTC38,BTC,CNY,40444,40444,40444,40444,0,0
2019-07-21,BTC38,EAC,CNY,0.001,0.001,0.001,0.001,0,0
2019-07-21,BTC38,SYS,CNY,1.03,1.03,1.03,1.03,0,0
2019-07-21,BTC38,DOGE,CNY,0.00754,0.00754,0.00754,0.00754,0,0
